Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ezi Magbegor,SEA,SEA vs. CHI,08/11/2026,2026,W,26,5,2,8,25.0,0,1,0.0,1,1,100.0,1,3,4,3,0,1,4,4,+15
Marine Johannes,NY,NY @ IND,08/11/2026,2026,L,18,8,3,10,30.0,2,9,22.2,0,0,0.0,0,0,0,1,1,0,1,0,-13
Azura Stevens,CHI,CHI @ SEA,08/11/2026,2026,L,24,9,4,9,44.4,0,3,0.0,1,2,50.0,5,3,8,2,0,2,1,5,-5
Kamilla Cardoso,CHI,CHI @ SEA,08/11/2026,2026,L,27,15,7,12,58.3,0,0,0.0,1,2,50.0,7,6,13,0,0,0,6,3,-9
Courtney Vandersloot,CHI,CHI @ SEA,08/11/2026,2026,L,26,13,2,7,28.6,1,3,33.3,8,9,88.9,0,0,0,3,0,0,2,3,-12
Natasha Cloud,CHI,CHI @ SEA,08/11/2026,2026,L,32,7,3,5,60.0,0,1,0.0,1,2,50.0,0,2,2,8,2,0,3,4,-3
Rachel Banham,CHI,CHI @ SEA,08/11/2026,2026,L,12,8,3,6,50.0,2,5,40.0,0,1,0.0,0,1,1,1,0,0,0,2,-4
Dominique Malonga,SEA,SEA vs. CHI,08/11/2026,2026,W,30,26,9,14,64.3,3,4,75.0,5,7,71.4,3,7,10,1,2,3,2,0,+8
Myisha Hines-Allen,IND,IND vs. NY,08/11/2026,2026,W,8,2,1,4,25.0,0,2,0.0,0,0,0.0,0,2,2,0,1,1,1,1,+5
Natisha Hiedeman,SEA,SEA vs. CHI,08/11/2026,2026,W,33,18,3,10,30.0,0,3,0.0,12,12,100.0,0,2,2,9,0,0,0,0,+11
Marine Fauthoux,NY,NY @ IND,08/11/2026,2026,L,16,5,2,6,33.3,1,3,33.3,0,0,0.0,0,1,1,3,0,0,4,1,-10
Zia Cooke,SEA,SEA vs. CHI,08/11/2026,2026,W,21,16,7,12,58.3,1,3,33.3,1,1,100.0,0,2,2,1,0,0,2,3,+8
Lexie Hull,IND,IND vs. NY,08/11/2026,2026,W,18,5,2,2,100.0,1,1,100.0,0,0,0.0,1,0,1,1,0,0,0,2,-3
Raven Johnson,IND,IND vs. NY,08/11/2026,2026,W,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Tyasha Harris,IND,IND vs. NY,08/11/2026,2026,W,11,1,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,3,0,1,0,0,+7
Rebekah Gardner,NY,NY @ IND,08/11/2026,2026,L,16,6,3,4,75.0,0,1,0.0,0,0,0.0,4,2,6,2,0,1,0,4,-4
Han Xu,NY,NY @ IND,08/11/2026,2026,L,17,7,3,7,42.9,0,3,0.0,1,2,50.0,2,3,5,1,2,1,0,1,-9
Raquel Carrera,NY,NY @ IND,08/11/2026,2026,L,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
Jaylyn Sherrod,ATL,ATL vs. TOR,08/11/2026,2026,W,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0
Sika Kone,ATL,ATL vs. TOR,08/11/2026,2026,W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Brionna Jones,ATL,ATL vs. TOR,08/11/2026,2026,W,20,15,5,5,100.0,0,0,0.0,5,6,83.3,1,2,3,2,1,0,3,4,-6
Rhyne Howard,ATL,ATL vs. TOR,08/11/2026,2026,W,36,22,7,15,46.7,6,11,54.5,2,4,50.0,0,4,4,7,3,1,0,3,+10
Jordin Canada,ATL,ATL vs. TOR,08/11/2026,2026,W,36,20,6,13,46.2,4,9,44.4,4,8,50.0,1,5,6,9,1,0,2,2,+8
Kiki Rice,TOR,TOR @ ATL,08/11/2026,2026,L,30,18,7,11,63.6,1,2,50.0,3,5,60.0,1,4,5,6,1,1,0,1,+2
Aneesah Morrow,TOR,TOR @ ATL,08/11/2026,2026,L,16,11,4,8,50.0,0,2,0.0,3,5,60.0,0,1,1,1,1,1,0,3,+5
Isabelle Harrison,TOR,TOR @ ATL,08/11/2026,2026,L,18,13,5,7,71.4,0,1,0.0,3,4,75.0,1,2,3,2,0,1,1,5,-4
Marina Mabrey,TOR,TOR @ ATL,08/11/2026,2026,L,33,36,12,19,63.2,7,13,53.8,5,5,100.0,0,0,0,3,0,0,1,3,-5
Maria Conde,TOR,TOR @ ATL,08/11/2026,2026,L,28,2,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,3,-17
Mercedes Russell,IND,IND vs. NY,08/11/2026,2026,W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
Jordan Harrison,POR,POR vs. SEA,08/09/2026,2026,W,28,13,4,9,44.4,1,2,50.0,4,4,100.0,0,7,7,6,1,0,3,4,+3
Natasha Mack,PHX,PHX @ WSH,08/09/2026,2026,L,23,8,4,7,57.1,0,1,0.0,0,0,0.0,3,4,7,0,1,0,2,3,-15
Valeriane Ayayi,PHX,PHX @ WSH,08/09/2026,2026,L,9,1,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,1,1,0,2,1,-6
Marta Suarez,PHX,PHX @ WSH,08/09/2026,2026,L,6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,0,+2
Maddy Siegrist,DAL,DAL @ MIN,08/09/2026,2026,L,6,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,1,+6
Holly Winterburn,POR,POR vs. SEA,08/09/2026,2026,W,17,4,2,3,66.7,0,1,0.0,0,0,0.0,1,1,2,7,0,0,3,2,-1
Marine Johannes,NY,NY vs. LV,08/09/2026,2026,W,22,27,9,14,64.3,7,12,58.3,2,2,100.0,0,1,1,3,1,0,3,0,+26
Stephanie Talbot,LV,LV @ NY,08/09/2026,2026,L,21,4,1,3,33.3,1,2,50.0,1,2,50.0,0,2,2,0,1,0,2,0,-30
Brianna Turner,LV,LV @ NY,08/09/2026,2026,L,30,4,2,4,50.0,0,0,0.0,0,0,0.0,1,2,3,1,1,1,1,3,-30
Ta'Niya Latson,LV,LV @ NY,08/09/2026,2026,L,24,20,6,9,66.7,1,2,50.0,7,8,87.5,1,3,4,2,1,0,2,2,-24
Justine Pissott,LV,LV @ NY,08/09/2026,2026,L,25,11,4,14,28.6,3,8,37.5,0,0,0.0,0,3,3,1,1,0,2,4,-28
