Player,Team,Age,Height,Weight,College,Country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Betnijah Laney-Hamilton,NYL,32,6-0,166,Rutgers,USA,17,4.7,1.9,1.5,4.6,1.2%,9.8%,16.0%,49.7%,14.0%
Breanna Stewart,NYL,31,6-4,170,Connecticut,USA,23,20.4,8.4,2.7,5.0,5.1%,20.1%,26.9%,57.7%,15.9%
Bree Hall,IND,23,6-1,161,South Carolina,USA,2,2.5,0.5,0.0,-26.9,0.0%,11.1%,17.9%,50.0%,0.0%
Brianna Turner,LVA,30,6-3,175,Notre Dame,USA,21,1.2,2.1,0.2,1.3,6.0%,13.7%,5.8%,65.4%,2.5%
Bridget Carleton,PDX,29,6-2,190,Iowa State,Canada,22,13.5,3.7,2.0,-7.9,2.4%,10.0%,19.0%,56.0%,11.0%
Brittney Griner,CON,35,6-9,219,Baylor,USA,13,13.5,5.8,2.4,-5.5,7.0%,15.3%,22.5%,56.6%,17.4%
Brittney Sykes,TOR,32,5-11,152,Syracuse,USA,15,20.1,3.8,3.5,-2.3,3.2%,9.2%,27.7%,55.0%,20.2%
Caitlin Clark,IND,24,6-0,157,Iowa,USA,19,20.1,4.2,7.8,3.3,0.9%,13.3%,30.5%,57.0%,44.4%
Cameron Brink,LAS,24,6-4,170,Stanford,USA,14,9.2,4.4,1.1,-0.3,9.0%,15.8%,22.9%,65.5%,10.8%
Carla Leite,PDX,22,5-9,151,None,France,21,15.1,2.4,5.8,-5.4,2.8%,7.0%,27.7%,58.6%,42.1%
Cassandre Prosper,WAS,21,6-3,182,Notre Dame,Canada,17,2.9,1.2,0.6,-5.3,5.3%,3.4%,14.1%,39.5%,6.7%
Cecilia Zandalasini,GSV,30,6-2,175,None,Italy,20,8.1,1.8,1.6,1.5,1.6%,9.1%,23.8%,52.5%,17.0%
Chance Gray,LAS,22,5-9,-,Ohio State,USA,18,2.8,1.4,0.8,-13.1,2.3%,10.2%,12.0%,51.8%,12.4%
Charlisse Leger-Walker,CON,24,5-10,190,UCLA,New Zealand,23,7.3,2.0,2.9,-8.0,0.8%,9.4%,16.9%,49.9%,21.4%
Chelsea Gray,LVA,33,5-11,170,Duke,USA,24,12.3,3.6,7.4,7.0,0.8%,10.0%,18.2%,57.1%,32.0%
Chennedy Carter,LVA,27,5-9,143,Texas A&M,USA,13,12.2,1.8,1.3,5.1,4.6%,5.7%,26.0%,68.4%,13.6%
Cheyenne Parker-Tyus,LVA,33,6-4,193,Middle Tennessee,USA,21,5.2,2.4,0.7,-4.2,7.0%,15.3%,20.0%,59.9%,10.1%
Costanza Verona,DAL,26,5-6,-,None,Italy,1,4.0,0.0,2.0,-33.3,0.0%,0.0%,15.4%,100.0%,100.0%
Cotie McMahon,WAS,22,6-0,203,Mississippi,USA,19,6.6,2.6,2.0,-9.5,2.4%,9.7%,16.7%,48.1%,18.4%
Courtney Vandersloot,CHI,37,5-8,137,Gonzaga,USA,6,8.0,2.7,4.3,8.5,2.2%,13.7%,21.8%,58.0%,31.7%
Courtney Williams,MIN,32,5-8,147,South Florida,USA,23,15.8,5.7,4.1,8.3,2.9%,15.0%,24.0%,51.6%,21.6%
Damiris Dantas,IND,33,6-4,203,None,Brazil,11,3.6,1.5,0.4,-8.0,3.4%,15.7%,18.5%,57.2%,6.9%
Dana Evans,LVA,27,5-6,145,Louisville,USA,1,8.0,2.0,1.0,-87.2,0.0%,20.0%,25.6%,45.0%,12.5%
DeWanna Bonner,PHX,38,6-4,140,Auburn,USA,24,8.7,5.2,1.3,-3.6,2.2%,17.8%,16.3%,48.4%,8.2%
Dearica Hamby,LAS,32,6-3,189,Wake Forest,USA,21,14.8,7.7,2.3,-3.9,7.3%,19.4%,20.4%,59.1%,13.4%
Diamond Miller,CON,25,6-1,178,Maryland,USA,23,8.6,2.4,1.3,-10.8,2.2%,10.0%,20.7%,47.2%,9.9%
Dominique Malonga,SEA,20,6-6,-,None,France,17,15.5,7.9,1.4,-1.2,8.9%,20.9%,29.9%,52.2%,10.3%
Dorka Juhasz,MIN,26,6-5,190,Connecticut,Hungary,3,5.0,4.3,1.7,5.8,3.3%,16.4%,13.5%,46.9%,12.5%
Eliska Hamzova,MIN,24,6-0,162,None,Czech Republic,8,2.1,1.4,1.8,10.6,6.4%,14.5%,16.1%,60.0%,31.1%
Elizabeth Williams,CHI,33,6-3,200,Duke,United Kingdom,23,5.1,3.9,1.5,-1.9,7.7%,13.9%,16.1%,44.6%,15.0%
Emese Hof,MIN,30,6-3,219,Miami,Netherlands,3,2.3,1.7,0.7,-35.0,9.5%,11.1%,21.6%,50.9%,16.7%
Emily Engstler,PDX,26,6-1,184,Louisville,USA,23,9.1,5.5,1.7,-8.0,4.7%,18.5%,18.2%,56.2%,11.8%
Emma Cannon,LAS,37,6-2,190,Florida Southern,USA,8,5.1,1.3,0.6,8.6,6.0%,9.0%,21.2%,75.5%,14.3%
Emma Cechova,MIN,22,6-4,180,None,Czech Republic,3,8.3,3.7,0.0,-10.7,8.0%,13.2%,19.0%,64.0%,0.0%
Erica Wheeler,LAS,35,5-7,143,Rutgers,USA,21,8.0,1.8,5.0,-3.0,1.4%,5.2%,16.3%,46.2%,25.8%
Ezi Magbegor,SEA,26,6-6,181,None,Australia,4,3.5,4.0,1.0,3.6,5.9%,20.3%,16.1%,43.8%,11.8%
Flau'jae Johnson,SEA,22,5-10,-,Louisiana State,USA,25,12.6,5.4,2.8,0.9,3.2%,14.6%,23.8%,48.2%,16.5%
Frieda Buhner,PDX,22,6-2,175,None,Germany,20,5.8,1.9,0.6,-10.5,4.8%,9.0%,18.2%,54.6%,6.8%
Gabby Williams,GSV,29,5-11,172,Connecticut,USA,23,15.0,3.5,2.2,6.4,2.7%,11.0%,27.3%,52.4%,16.9%
Gabriela Jaquez,CHI,22,6-0,-,UCLA,USA,19,8.7,3.9,1.1,-0.4,4.0%,12.2%,17.5%,53.6%,7.6%
Georgia Amoore,WAS,25,5-6,155,Kentucky,Australia,21,6.1,1.2,3.6,-5.4,0.4%,4.7%,15.9%,47.6%,26.1%
Gianna Kneepkens,CON,23,5-11,174,UCLA,USA,19,3.0,1.1,0.5,-11.6,5.7%,8.8%,15.6%,51.3%,11.1%
Grace VanSlooten,IND,22,6-3,-,Michigan State,USA,12,1.9,0.8,0.3,-26.5,1.5%,12.3%,10.7%,79.2%,11.1%
Hailey Van Lith,CON,24,5-9,157,TCU,USA,11,7.0,1.0,2.0,-15.8,1.1%,5.6%,18.1%,58.8%,22.7%
Haley Jones,DAL,25,6-1,202,Stanford,USA,5,5.2,2.2,1.0,-12.8,4.3%,16.4%,20.6%,63.4%,14.3%
Han Xu,NYL,26,6-11,203,None,China,24,5.4,2.0,0.8,4.6,5.0%,9.6%,15.9%,63.6%,10.9%
Holly Winterburn,PDX,25,5-11,-,Oregon,United Kingdom,12,2.2,0.7,1.7,-25.0,0.0%,8.7%,19.0%,41.1%,35.7%
Indya Nivar,ATL,22,5-10,-,North Carolina,USA,20,0.9,0.9,0.4,11.2,5.0%,21.3%,16.8%,35.8%,17.5%
Isabelle Harrison,TOR,32,6-5,193,Tennessee,USA,13,13.5,6.4,1.7,-8.1,7.2%,17.8%,22.9%,58.5%,12.1%
Isobel Borlase,ATL,21,5-11,-,None,Australia,23,4.2,1.4,1.0,1.0,1.8%,11.5%,15.2%,54.7%,11.8%
JJ Quinerly,DAL,23,5-8,-,West Virginia,USA,2,1.0,0.5,1.0,-23.7,0.0%,8.3%,10.7%,33.3%,25.0%
Jackie Young,LVA,28,6-0,165,Notre Dame,USA,24,16.1,4.3,6.6,9.2,2.7%,10.5%,21.8%,57.7%,32.0%
Jacy Sheldon,CHI,25,5-10,140,Ohio State,USA,23,6.9,1.3,1.8,-0.7,1.2%,4.5%,13.3%,58.3%,12.9%
Jade Melbourne,SEA,23,5-10,145,None,Australia,24,8.8,2.0,3.8,-4.9,1.6%,6.4%,17.1%,58.2%,28.0%
Janelle Salaun,GSV,24,6-2,-,None,France,24,13.0,4.1,1.0,7.9,4.4%,14.4%,22.8%,58.2%,8.3%
Jessica Shepard,DAL,29,6-4,175,Notre Dame,USA,24,15.0,11.6,5.2,5.6,9.8%,26.9%,18.1%,63.1%,24.3%
Jewell Loyd,LVA,32,5-11,175,Notre Dame,USA,22,8.2,2.4,1.5,1.7,1.8%,6.9%,14.0%,50.6%,7.6%
Jihyun Park,LAS,26,6-1,-,None,South Korea,16,2.2,1.1,0.4,-8.7,4.3%,7.8%,11.9%,45.1%,7.2%
Jonquel Jones,NYL,32,6-6,215,George Washington,Bahamas,23,15.0,9.3,2.6,3.7,7.0%,24.2%,20.0%,64.3%,14.9%
Jordan Harrison,PDX,22,5-6,132,West Virginia,USA,3,2.3,0.7,3.7,-9.8,5.4%,0.0%,15.9%,32.2%,40.7%
Jordan Horston,SEA,25,6-2,165,Tennessee,USA,20,4.7,3.6,1.5,-3.0,4.4%,14.2%,16.2%,41.5%,14.2%
Jordin Canada,ATL,30,5-6,135,UCLA,USA,23,11.3,3.8,7.3,8.8,1.9%,11.7%,16.4%,55.6%,35.7%
